epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0435,1.36448,3.2496,1.07914,0.1219,0.92252,0.23608,0.13627,1.04373,3.18842,0.88624,0.00018,0.00018,0.00018
2,19.6055,1.3241,2.07055,0.98974,0.1231,0.93153,0.72889,0.45279,1.09801,2.74484,0.886,0.000376238,0.000376238,0.000376238
3,29.0982,1.25689,1.23595,0.96036,0.97637,0.6701,0.90394,0.55805,1.17913,1.99152,0.89347,0.000568516,0.000568516,0.000568516
4,38.5086,1.20484,0.98099,0.95438,0.90365,0.82802,0.92489,0.65811,1.02262,1.25462,0.89383,0.000756834,0.000756834,0.000756834
5,48.1569,1.31355,0.96854,0.98995,0.94807,0.88814,0.96167,0.63566,1.0448,0.81795,0.89015,0.000941192,0.000941192,0.000941192
6,57.7429,1.25593,0.8867,0.98133,0.93415,0.86908,0.95739,0.6625,0.99493,0.78236,0.91908,0.00112159,0.00112159,0.00112159
7,67.3821,1.20724,0.85394,0.95974,0.8352,0.80354,0.87506,0.50331,1.32419,1.01466,0.95494,0.00129803,0.00129803,0.00129803
8,77.1259,1.24545,0.86502,0.98189,0.95824,0.89189,0.96615,0.68561,0.9189,0.7986,0.86982,0.00147051,0.00147051,0.00147051
9,86.7955,1.20149,0.82318,0.97086,0.95011,0.89209,0.96514,0.67795,0.97361,0.81345,0.89832,0.00163902,0.00163902,0.00163902
10,96.4544,1.15254,0.79819,0.95762,0.93909,0.88468,0.96591,0.69016,0.93406,0.75496,0.87262,0.00180358,0.00180358,0.00180358
11,106.077,1.09174,0.78495,0.9547,0.94051,0.883,0.95963,0.68063,0.96958,0.79044,0.87734,0.001802,0.001802,0.001802
12,115.693,1.06563,0.76234,0.94127,0.94374,0.87928,0.96353,0.71078,0.88567,0.75269,0.86482,0.0017822,0.0017822,0.0017822
13,125.29,1.03685,0.76688,0.93698,0.95058,0.88649,0.96709,0.74111,0.80845,0.66561,0.85424,0.0017624,0.0017624,0.0017624
14,134.988,1.08626,0.79604,0.95374,0.95034,0.89648,0.96879,0.73194,0.85039,0.63142,0.85401,0.0017426,0.0017426,0.0017426
15,144.57,1.04791,0.74687,0.93906,0.94678,0.89758,0.96728,0.75023,0.79252,0.60004,0.85348,0.0017228,0.0017228,0.0017228
16,154.163,1.05349,0.72347,0.93869,0.94688,0.89925,0.96463,0.71369,0.9144,0.62435,0.8631,0.001703,0.001703,0.001703
17,163.881,1.04253,0.72699,0.93378,0.95036,0.89688,0.96667,0.6938,0.97225,0.62616,0.86753,0.0016832,0.0016832,0.0016832
18,173.604,1.00315,0.69945,0.92146,0.95041,0.9045,0.97039,0.75314,0.78117,0.59761,0.85164,0.0016634,0.0016634,0.0016634
19,183.26,0.98865,0.6931,0.92745,0.95788,0.9027,0.97209,0.72216,0.89081,0.61439,0.85701,0.0016436,0.0016436,0.0016436
20,192.984,1.02436,0.72156,0.93215,0.95835,0.8955,0.97282,0.7442,0.80836,0.60103,0.84933,0.0016238,0.0016238,0.0016238
